1;543;451
2;595;441
3;563;459
4;504;428
5;540;465
6;559;430
7;597;458
8;584;419
9;569;439
10;589;442
11;532;444
12;581;457
13;560;417
14;526;452
15;542;431
16;568;428
17;552;434
18;546;445
19;534;484
20;582;447
21;564;453
22;535;445
23;537;430
24;537;438
25;541;432
26;549;465
27;560;447
28;558;478
29;554;455
30;600;467
31;499;430
32;568;472
33;570;435
34;518;422
35;534;464
36;587;443
37;576;474
38;528;453
39;540;407
40;569;440
41;514;435
42;589;453
43;529;442
44;605;412
45;544;441
46;531;451
47;519;466
48;566;425
49;549;480
50;573;463
51;546;428
52;585;463
53;549;457
54;535;469
55;574;454
56;578;434
57;523;446
58;552;451
59;552;442
60;534;447
61;581;416
62;536;468
63;583;433
64;577;445
65;527;458
66;552;414
67;557;452
68;557;449
69;536;453
70;537;449
71;563;496
72;530;416
73;563;465
74;540;474
75;558;450
76;506;499
77;571;453
78;593;476
79;543;463
80;511;454
81;531;430
82;532;449
83;499;455
84;537;457
85;521;448
86;557;451
87;551;459
88;547;459
89;539;459
90;542;448
91;516;446
92;541;482
93;507;494
94;570;461
95;556;431
96;569;469
97;573;468
98;572;431
99;543;420
100;529;430
