order_id,date,prod_price,prod_qty,client_id,prod_id
1;25-03-2019;173;8;45;2
2;24-01-2019;529;9;21;15
3;04-07-2019;213;5;1;1
4;03-05-2019;590;10;9;15
5;10-01-2019;289;5;64;6
6;16-08-2019;308;6;76;18
7;14-01-2019;585;10;64;8
8;07-08-2019;808;10;23;6
9;10-09-2019;106;5;78;12
10;30-09-2019;186;10;57;16
11;12-03-2019;352;10;17;9
12;25-03-2019;218;1;76;20
13;09-09-2019;821;2;65;19
14;13-11-2019;417;1;90;17
15;12-01-2019;932;2;55;7
16;14-09-2019;891;4;100;13
17;28-08-2019;873;3;85;11
18;02-06-2019;708;1;73;16
19;26-05-2019;272;2;64;13
20;17-12-2019;453;5;1;4
21;01-07-2019;506;8;84;8
22;22-11-2019;180;7;72;4
23;16-07-2019;120;9;35;5
24;22-01-2019;941;9;47;8
25;10-02-2019;707;7;26;12
26;11-06-2019;497;9;5;4
27;01-07-2019;974;8;32;3
28;31-03-2019;943;10;43;3
29;15-02-2019;339;9;22;13
30;06-09-2019;574;8;67;9
31;09-05-2019;338;2;81;5
32;09-05-2019;718;9;82;15
33;12-03-2019;765;9;73;19
34;02-09-2019;364;10;74;17
35;26-07-2019;507;8;19;18
36;12-11-2019;524;8;29;18
37;05-12-2019;771;6;56;19
38;24-01-2019;669;7;91;19
39;02-09-2019;427;8;13;3
40;26-06-2019;623;8;7;19
41;12-10-2019;416;10;39;7
42;30-09-2019;254;8;98;15
43;01-01-2019;158;1;53;9
44;15-10-2019;390;2;52;2
45;04-08-2019;406;6;37;5
46;03-09-2019;194;4;18;7
47;21-08-2019;341;4;62;4
48;20-09-2019;603;6;73;15
49;26-03-2019;956;9;8;15
50;02-12-2019;976;3;35;14
51;20-01-2019;641;10;24;4
52;05-09-2019;943;2;74;15
53;02-04-2019;576;6;91;3
54;16-06-2019;700;8;69;5
55;18-05-2019;414;9;42;3
56;08-06-2019;813;10;77;18
57;22-02-2019;181;7;42;16
58;25-05-2019;297;5;18;3
59;17-05-2019;429;5;19;7
60;23-09-2019;306;3;32;13
61;19-06-2019;288;8;12;9
62;09-07-2019;977;3;43;17
63;30-01-2019;298;5;12;19
64;22-02-2019;871;6;38;11
65;03-05-2019;708;10;48;16
66;03-04-2019;325;3;89;18
67;09-02-2019;398;9;62;14
68;30-05-2019;634;9;26;1
69;29-12-2019;437;6;19;19
70;01-09-2019;798;9;58;15
71;11-09-2019;848;6;37;18
72;12-02-2019;379;10;88;3
73;01-12-2019;468;6;100;15
74;11-08-2019;942;3;29;6
75;08-09-2019;214;7;51;5
76;09-08-2019;729;7;72;4
77;01-08-2019;285;9;7;8
78;12-08-2019;688;8;66;16
79;22-09-2019;508;9;45;13
80;25-03-2019;271;5;86;20
81;02-04-2019;857;4;95;4
82;25-04-2019;249;4;32;16
83;04-05-2019;344;5;8;18
84;21-07-2019;735;4;58;7
85;06-07-2019;131;3;33;7
86;30-07-2019;649;3;53;2
87;07-06-2019;404;5;80;10
88;06-11-2019;786;2;36;12
89;02-06-2019;702;3;94;3
90;30-06-2019;670;6;16;6
91;27-11-2019;814;6;83;14
92;11-07-2019;680;8;18;13
93;25-07-2019;829;3;97;1
94;08-03-2019;475;9;32;17
95;12-07-2019;801;1;14;10
96;19-09-2019;491;5;76;2
97;07-06-2019;373;7;43;12
98;27-06-2019;567;5;20;14
99;05-08-2019;482;1;55;16
100;09-01-2019;938;6;35;10
101;02-10-2019;470;5;43;4
102;19-09-2019;310;6;79;1
103;29-10-2019;363;10;21;14
104;18-03-2019;238;9;65;9
105;20-02-2019;446;10;99;15
106;08-01-2019;966;8;65;1
